test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_try_js	0	75408	76192	784
annexB_language_function_code_if_decl_else_decl_b_func_no_skip_try_js	0	84512	85312	800
annexB_language_function_code_if_decl_else_decl_a_func_no_skip_try_js	0	69936	70704	768
annexB_language_function_code_function_redeclaration_block_js	0	50800	51312	512
annexB_language_function_code_if_decl_else_decl_b_func_existing_fn_no_init_js	0	80768	81456	688
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_for_js	0	88272	89040	768
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_block_js	0	71488	72192	704
annexB_language_function_code_if_decl_else_decl_b_func_skip_dft_param_js	0	85312	86080	768
annexB_language_function_code_if_decl_else_decl_a_func_skip_param_js	0	76896	77616	720
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_no_init_js	0	82256	82896	640
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_update_js	0	82896	83680	784
annexB_language_function_code_if_decl_else_decl_a_func_existing_fn_no_init_js	0	60096	66896	6800
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_block_js	0	86080	86832	752
annexB_language_function_code_if_decl_else_stmt_func_existing_fn_no_init_js	0	95024	95728	704
annexB_language_function_code_if_decl_else_decl_a_func_skip_dft_param_js	0	70704	71488	784
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_switch_js	0	89040	89808	768
annexB_language_function_code_if_decl_else_decl_b_func_skip_param_js	0	91264	92000	736
annexB_language_function_code_block_decl_nostrict_js	0	50528	50800	272
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_try_js	0	89808	90496	688
annexB_language_function_code_if_decl_else_stmt_func_existing_block_fn_update_js	0	94272	95024	752
annexB_language_function_code_if_decl_else_stmt_func_init_js	0	97920	98720	800
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_block_scoping_js	0	50960	58128	7168
