test_name	exit_code	elapsed_us
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	46004
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_update_js	0	15942
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_no_skip_try_js	0	13339
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	13030
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	15151
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	17404
annexB_language_eval_code_indirect_global_switch_case_eval_global_block_scoping_js	0	25467
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_js	0	19723
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	40590
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_global_update_js	0	20631
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	21899
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_update_js	0	16226
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_js	0	20960
annexB_language_eval_code_indirect_global_switch_case_eval_global_init_js	0	47130
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_block_js	0	17980
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_block_fn_update_js	0	48791
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	45943
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_of_js	0	20398
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_var_update_js	0	12782
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_global_init_js	0	39637
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_update_js	0	19695
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_block_scoping_js	0	15800
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_non_enumerable_global_init_js	0	39521
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_try_js	0	18382
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_update_js	0	15119
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	17661
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_update_js	0	14889
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	18053
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_fn_update_js	0	15627
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_no_skip_try_js	0	13814
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_in_js	0	15419
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	16086
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_no_init_js	0	14161
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_no_init_js	0	15309
