test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_function_code_block_decl_func_skip_dft_param_js	0	139872	140592	720
annexB_language_function_code_block_decl_func_existing_block_fn_update_js	0	133568	134288	720
annexB_language_function_code_block_decl_func_existing_fn_no_init_js	0	134288	134960	672
annexB_language_function_code_block_decl_func_skip_early_err_for_in_js	0	141296	142032	736
annexB_language_function_code_block_decl_func_existing_var_no_init_js	0	135680	136464	784
annexB_language_function_code_block_decl_func_init_js	0	137200	137968	768
annexB_language_function_code_block_decl_func_skip_early_err_block_js	0	140592	141296	704
annexB_language_function_code_block_decl_func_skip_early_err_js	0	144976	145760	784
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_var_no_init_js	0	187632	188640	1008
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_init_js	0	123792	134864	11072
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_update_js	0	110208	111488	1280
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_update_js	0	168352	169648	1296
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_block_js	0	72736	85744	13008
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_for_of_js	0	92672	99824	7152
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_init_js	0	148944	153328	4384
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_for_js	0	99824	100768	944
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_block_fn_update_js	0	114064	115328	1264
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_of_js	0	156336	157584	1248
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_block_scoping_js	0	111488	112880	1392
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_init_js	0	104992	115920	10928
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	183152	187632	4480
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_update_js	0	116592	123776	7184
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_no_skip_try_js	0	153328	154256	928
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	154256	155152	896
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	155152	156336	1184
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	157584	158800	1216
annexB_language_eval_code_indirect_global_switch_case_eval_global_block_scoping_js	0	169648	171024	1376
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_js	0	198416	199552	1136
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	136320	141152	4832
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_global_update_js	0	181456	183136	1680
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	159968	167152	7184
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_update_js	0	134864	136320	1456
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_js	0	167152	168352	1200
annexB_language_eval_code_indirect_global_switch_case_eval_global_init_js	0	189456	194208	4752
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_block_js	0	195280	196272	992
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_block_fn_update_js	0	172064	173504	1440
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	115328	116592	1264
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_of_js	0	197440	198416	976
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_var_update_js	0	48544	61248	12704
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_global_init_js	0	96624	101952	5328
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_update_js	0	211872	213072	1200
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_block_scoping_js	0	60976	73984	13008
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_non_enumerable_global_init_js	0	103312	107968	4656
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_try_js	0	203456	204672	1216
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_update_js	0	48208	60976	12768
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	202432	203456	1024
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_update_js	0	108816	109808	992
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	144768	146000	1232
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_fn_update_js	0	83488	96624	13136
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_no_skip_try_js	0	120912	122016	1104
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_in_js	0	123040	124144	1104
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	124144	131264	7120
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_no_init_js	0	107968	108816	848
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_no_init_js	0	73984	75008	1024
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_update_js	0	75008	76160	1152
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	133664	134912	1248
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_no_init_js	0	210768	211872	1104
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	153296	154448	1152
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_block_scoping_js	0	143504	144768	1264
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_non_enumerable_global_init_js	0	174080	179200	5120
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_non_enumerable_global_init_js	0	219696	230128	10432
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	179200	180080	880
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_update_js	0	180080	181024	944
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_block_scoping_js	0	206928	208208	1280
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	154448	161712	7264
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_global_init_js	0	213072	218240	5168
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_block_js	0	156128	157040	912
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_global_init_js	0	123952	129760	5808
annexB_language_eval_code_direct_var_env_lower_lex_catch_non_strict_js	0	107472	117664	10192
annexB_language_eval_code_indirect_global_block_decl_eval_global_no_skip_try_js	0	155104	156128	1024
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_switch_js	0	160480	161360	880
annexB_language_eval_code_direct_switch_case_decl_nostrict_js	0	99392	106512	7120
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_js	0	221488	222528	1040
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_no_skip_try_js	0	207152	208192	1040
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_var_no_init_js	0	194704	195808	1104
annexB_language_eval_code_direct_script_decl_lex_no_collision_js	0	97728	99392	1664
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_fn_update_js	0	170176	171392	1216
annexB_language_eval_code_indirect_global_block_decl_eval_global_block_scoping_js	0	117664	119120	1456
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_fn_update_js	0	122736	123936	1200
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_no_init_js	0	119120	120448	1328
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_update_js	0	120448	121776	1328
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_for_of_js	0	216608	217680	1072
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_update_js	0	167424	168928	1504
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_js	0	68832	75664	6832
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_block_scoping_js	0	164960	166144	1184
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_no_init_js	0	166144	167424	1280
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_in_js	0	48608	61584	12976
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_global_init_js	0	171392	182224	10832
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_init_js	0	196896	207152	10256
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_try_js	0	220064	221488	1424
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_js	0	162624	163680	1056
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_block_js	0	208192	209440	1248
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_of_js	0	175664	176864	1200
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_var_no_init_js	0	91232	92192	960
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_js	0	186304	187200	896
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	117984	130784	12800
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	111040	117984	6944
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	131824	133024	1200
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_fn_update_js	0	199312	200560	1248
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	80832	91232	10400
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	134144	135232	1088
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	161840	166032	4192
annexB_language_eval_code_direct_global_switch_case_eval_global_block_scoping_js	0	137312	138496	1184
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_fn_no_init_js	0	140704	141920	1216
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_no_init_js	0	211952	212816	864
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_global_init_js	0	149136	154784	5648
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_block_fn_update_js	0	139424	140704	1280
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_var_no_init_js	0	166032	166976	944
annexB_language_eval_code_direct_global_switch_case_eval_global_no_skip_try_js	0	172688	173632	944
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_block_js	0	173632	174544	912
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	48944	61760	12816
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_block_js	0	218864	220000	1136
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_update_js	0	212816	213712	896
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_js	0	176864	183888	7024
annexB_language_eval_code_direct_global_switch_case_eval_global_update_js	0	187200	188416	1216
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	189728	190928	1200
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_for_js	0	143808	144976	1168
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_init_js	0	129408	133952	4544
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	61632	74448	12816
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_switch_js	0	81376	94176	12800
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_js	0	153232	154432	1200
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_update_js	0	106128	107216	1088
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_no_skip_try_js	0	185200	186016	816
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	94176	95328	1152
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	107216	108416	1200
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	108416	109840	1424
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	105088	106128	1040
