peak_rss_mb	test_name
434.312	built_ins_RegExp_property_escapes_generated_Script_Extensions___Mende_Kikakui_js
433.500	built_ins_RegExp_property_escapes_generated_Script_Extensions___Soyombo_js
431.203	built_ins_RegExp_property_escapes_generated_General_Category___Mark_js
430.891	built_ins_RegExp_property_escapes_grammar_extension_circumflex_negation_js
430.188	built_ins_RegExp_property_escapes_grammar_extension_circumflex_negation_negated_js
429.578	built_ins_RegExp_property_escapes_grammar_extension_Is_prefix_Script_js
428.844	built_ins_RegExp_property_escapes_grammar_extension_Is_prefix_Script_negated_js
428.453	built_ins_RegExp_property_escapes_generated_Script___Tulu_Tigalari_js
428.312	built_ins_RegExp_property_escapes_grammar_extension_In_prefix_Script_js
427.906	built_ins_RegExp_property_escapes_generated_Script___Old_Persian_js
427.672	built_ins_RegExp_property_escapes_grammar_extension_In_prefix_Script_negated_js
427.141	built_ins_RegExp_property_escapes_grammar_extension_In_prefix_Script_implicit_js
425.062	built_ins_RegExp_property_escapes_generated_Script_Extensions___Ethiopic_js
423.703	built_ins_RegExp_property_escapes_generated_Script_Extensions___Meetei_Mayek_js
423.203	language_identifiers_start_unicode_17_0_0_escaped_js
422.000	built_ins_RegExp_property_escapes_generated_Script___Toto_js
421.578	built_ins_RegExp_property_escapes_generated_Script___Bengali_js
421.453	built_ins_RegExp_property_escapes_generated_Default_Ignorable_Code_Point_js
420.766	built_ins_RegExp_property_escapes_grammar_extension_In_prefix_Script_implicit_negated_js
420.141	built_ins_RegExp_property_escapes_grammar_extension_In_prefix_Block_implicit_js
419.750	built_ins_RegExp_property_escapes_generated_Script___Kawi_js
418.016	built_ins_RegExp_property_escapes_generated_Script_Extensions___Elymaic_js
416.953	built_ins_RegExp_property_escapes_generated_Script_Extensions___Sora_Sompeng_js
416.875	built_ins_RegExp_property_escapes_generated_Script___Old_Permic_js
415.578	built_ins_RegExp_property_escapes_generated_Script___Batak_js
414.828	built_ins_RegExp_property_escapes_generated_General_Category___Lowercase_Letter_js
413.859	built_ins_RegExp_property_escapes_grammar_extension_In_prefix_Block_implicit_negated_js
412.156	built_ins_RegExp_property_escapes_generated_Script_Extensions___Medefaidrin_js
410.328	built_ins_RegExp_property_escapes_generated_Script_Extensions___Sogdian_js
410.312	built_ins_RegExp_property_escapes_generated_Script___Old_North_Arabian_js
408.766	built_ins_RegExp_property_escapes_generated_Script___Katakana_js
407.578	built_ins_RegExp_property_escapes_generated_Script_Extensions___Elbasan_js
407.469	built_ins_RegExp_property_escapes_generated_XID_Start_js
405.500	built_ins_RegExp_property_escapes_generated_Script___Tolong_Siki_js
403.328	built_ins_RegExp_property_escapes_generated_Script___Bassa_Vah_js
402.125	built_ins_RegExp_property_escapes_generated_Script_Extensions___Masaram_Gondi_js
401.047	built_ins_RegExp_property_escapes_generated_Dash_js
399.656	built_ins_RegExp_property_escapes_generated_Script_Extensions___Marchen_js
399.234	built_ins_RegExp_property_escapes_generated_General_Category___Line_Separator_js
397.906	built_ins_RegExp_property_escapes_generated_Script___Kannada_js
